Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kt),EN.ATM.CO2E.KT,Poland,POL,313246.141,329952.993,336128.221,346876.198,375559.472,399035.606,419024.423,432056.941,442489.556,464575.897,410062.275,422211.046,422339.391,433894.108,445899.866,453369.545,465353.301,445976.873,423787.856,350220,351630,343370,344020,339750,340000,355320,344630,318410,308980,295710,293600,287280,297700,301820,301350,314090,313370,308320,297260,313740,310590,303350,298330,285740,289050,299740,312820,312740,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Poland,POL,9.554993854,9.981742698,10.07663176,10.29951122,11.0409312,11.6146269,12.0794436,12.35662883,12.55388634,13.05936746,11.42279709,11.65347614,11.54822291,11.75733071,11.98594819,12.10401817,12.35406034,11.79069191,11.16361398,9.189525421,9.193856236,8.950395696,8.94455034,8.814909778,8.80943173,9.199373349,8.916766668,8.235419879,7.992184018,7.729236717,7.676203111,7.514445847,7.792261502,7.904725922,7.895885925,8.234912595,8.220498335,8.086920971,7.791546793,8.247028333,8.159838143,7.969647505,7.842493766,7.517152269,7.609299873,7.894108855,8.237562431,8.235472255,..,..
