"Anise, badian, fennel, coriander",Apples,Apricots,Asparagus,Barley,"Beans, dry","Beans, green",Berries nes,Blueberries,"Broad beans, horse beans, dry",Buckwheat,Cabbages and other brassicas,Carrots and turnips,Cauliflowers and broccoli,Cereals nes,"Cereals, Total",Cherries,"Cherries, sour",Chestnut,Chicory roots,"Chillies and peppers, green",Cucumbers and gherkins,Currants,Fibre Crops Primary,Flax fibre and tow,Fruit Primary,"Fruit, fresh nes","Fruit, stone nes",Garlic,Gooseberries,"Grain, mixed",Grapes,"Hazelnuts, with shell",Hemp tow waste,Hempseed,Hops,"Leeks, other alliaceous vegetables",Lettuce and chicory,Linseed,Lupins,Maize,"Maize, green",Millet,Mushrooms and truffles,Nuts nes,Oats,Oilcrops,"Oilcrops, Cake Equivalent","Oilcrops, Oil Equivalent",Oilseeds nes,"Onions, dry",Peaches and nectarines,Pears,"Peas, dry","Peas, green",Plums and sloes,Potatoes,Pulses nes,"Pulses, Total","Pumpkins, squash and gourds",Rapeseed,Raspberries,"Roots and Tubers, Total",Rye,Soybeans,Spinach,Strawberries,String beans,Sugar Crops Primary,Sugar beet,Sunflower seed,"Tobacco, unmanufactured",Tomatoes,"Treenuts, Total",Triticale,Vegetables Primary,"Vegetables, fresh nes","Vegetables, leguminous nes",Vetches,"Walnuts, with shell",Wheat
0.0,779693.0,0.0,0.0,4861093.0,76770.0,0.0,0.0,0.0,0.0,279780.0,1950122.0,890597.0,326113.0,0.0,27652185.0,19713.0,36508.0,0.0,44019.0,0.0,690290.0,129071.0,107720.0,98222.0,1687543.0,2000.0,7944.0,0.0,34254.0,3227385.0,0.0,0.0,21136.0,7541.0,16727.0,0.0,0.0,86215.0,73380.0,123112.0,0.0,0.0,23000.0,0.0,3909939.0,892174.0,675253.0,553179.0,29078.0,608285.0,0.0,87942.0,110000.0,0.0,74607.0,45007846.0,148625.0,394882.0,0.0,790552.0,61828.0,45007846.0,9756041.0,0.0,0.0,279984.0,0.0,16674710.0,16674710.0,0.0,163773.0,617005.0,0.0,0.0,5574186.0,1505060.0,0.0,38325.0,0.0,5650638.0
0.0,2125690.0,0.0,0.0,4913237.0,52446.0,0.0,0.0,0.0,0.0,173894.0,1486802.0,739309.0,273511.0,0.0,29286687.0,28564.0,43344.0,0.0,46480.0,0.0,489650.0,138557.0,78495.0,70385.0,3437225.0,7000.0,18879.0,0.0,35702.0,3462685.0,0.0,0.0,18560.0,6777.0,18638.0,0.0,202100.0,60809.0,107603.0,125785.0,0.0,0.0,20600.0,0.0,3717193.0,789357.0,599648.0,493039.0,33490.0,608862.0,0.0,105432.0,68238.0,0.0,134662.0,34275102.0,192845.0,402145.0,0.0,708753.0,72298.0,34275102.0,11089131.0,0.0,0.0,303427.0,0.0,15884413.0,15884413.0,0.0,164155.0,619257.0,0.0,0.0,4653892.0,1325474.0,0.0,37779.0,0.0,5962717.0
0.0,1729491.0,0.0,0.0,4390248.0,66114.0,0.0,0.0,0.0,0.0,104143.0,1497965.0,789709.0,303974.0,0.0,30231578.0,38643.0,80441.0,0.0,67690.0,0.0,546025.0,164112.0,84179.0,78446.0,3100011.0,7000.0,24395.0,0.0,40267.0,3345929.0,0.0,0.0,16677.0,6492.0,16065.0,0.0,202100.0,68144.0,168183.0,120573.0,0.0,0.0,22000.0,0.0,3441734.0,913125.0,672079.0,537071.0,34939.0,598435.0,0.0,125617.0,83261.0,0.0,161837.0,36848148.0,235764.0,530495.0,0.0,824966.0,71130.0,36848148.0,12253793.0,0.0,0.0,278493.0,0.0,17187136.0,17187136.0,0.0,171172.0,715436.0,0.0,0.0,4820330.0,1337435.0,0.0,41313.0,0.0,6735998.0
0.0,1564430.0,0.0,0.0,4643138.0,82008.0,0.0,0.0,0.0,0.0,120866.0,2496281.0,1053086.0,385436.0,0.0,32581375.0,36565.0,76271.0,0.0,66242.0,0.0,349946.0,150846.0,82607.0,78835.0,2805214.0,9000.0,20085.0,0.0,42560.0,3450413.0,0.0,0.0,14858.0,6176.0,20041.0,0.0,202100.0,67303.0,236402.0,110593.0,0.0,0.0,39000.0,0.0,3565915.0,1437372.0,1048620.0,831394.0,56733.0,683037.0,0.0,94430.0,114235.0,0.0,131269.0,39758139.0,319236.0,718037.0,0.0,1329260.0,71652.0,39758139.0,13112464.0,0.0,0.0,272436.0,0.0,16860485.0,16860485.0,0.0,167795.0,371737.0,0.0,0.0,5783903.0,1532685.0,0.0,35320.0,0.0,7751901.0
0.0,1584359.0,0.0,0.0,5361119.0,77955.0,0.0,0.0,0.0,0.0,91150.0,1917804.0,960906.0,398905.0,0.0,31975403.0,66833.0,122101.0,0.0,66470.0,0.0,220000.0,268924.0,80914.0,76910.0,2638768.0,81827.0,38523.0,0.0,113907.0,3701062.0,0.0,0.0,15586.0,6444.0,16250.0,0.0,202100.0,65606.0,248097.0,127528.0,0.0,0.0,40000.0,0.0,3703223.0,1642507.0,1194454.0,945778.0,28808.0,672512.0,0.0,158655.0,113789.0,0.0,256156.0,38815660.0,341926.0,751191.0,0.0,1562489.0,88689.0,38815660.0,10708239.0,0.0,0.0,303989.0,0.0,15436175.0,15436175.0,0.0,185229.0,393628.0,0.0,102500.0,5078415.0,1525433.0,0.0,30431.0,0.0,8379612.0
0.0,2199153.0,0.0,0.0,5780188.0,67782.0,0.0,0.0,0.0,0.0,79381.0,2167795.0,977867.0,417423.0,0.0,33303737.0,64319.0,109329.0,0.0,30501.0,0.0,421207.0,231490.0,71123.0,66166.0,3172728.0,81827.0,60114.0,0.0,110824.0,4269456.0,0.0,0.0,16171.0,6494.0,16648.0,0.0,202100.0,56271.0,244616.0,185674.0,0.0,0.0,37000.0,0.0,3437021.0,1902392.0,1365449.0,1068370.0,21433.0,748632.0,0.0,169059.0,123333.0,0.0,223531.0,41240456.0,396445.0,798897.0,0.0,1838263.0,74177.0,41240456.0,9859417.0,0.0,0.0,370594.0,0.0,14976535.0,14976535.0,0.0,200449.0,658003.0,0.0,341333.0,5846932.0,1620102.0,0.0,30391.0,0.0,9563752.0
0.0,646800.0,0.0,0.0,5654037.0,66363.0,0.0,0.0,0.0,0.0,127227.0,2182533.0,1072458.0,432492.0,0.0,34473651.0,19040.0,37456.0,0.0,40000.0,0.0,497352.0,171750.0,57807.0,50756.0,1291779.0,61456.0,9467.0,0.0,104275.0,4410273.0,0.0,0.0,18659.0,7131.0,15981.0,0.0,202100.0,43074.0,254966.0,223231.0,0.0,0.0,46000.0,0.0,3313001.0,1760506.0,1270270.0,999162.0,21929.0,846468.0,0.0,41542.0,117571.0,0.0,27554.0,38373742.0,426931.0,828706.0,0.0,1708462.0,44192.0,38373742.0,9489094.0,0.0,0.0,449901.0,0.0,14740334.0,14740334.0,0.0,185903.0,506884.0,0.0,1360555.0,6104241.0,1730998.0,0.0,28052.0,0.0,10111393.0
0.0,1631861.0,0.0,0.0,5084922.0,72520.0,0.0,0.0,0.0,0.0,145815.0,1927859.0,1028218.0,420157.0,0.0,32972378.0,57246.0,163634.0,0.0,79475.0,0.0,679327.0,250100.0,61149.0,55080.0,2528867.0,73567.0,33602.0,0.0,112560.0,4600577.0,0.0,0.0,16868.0,6526.0,15363.0,0.0,202100.0,46936.0,252077.0,295513.0,0.0,0.0,83000.0,0.0,3097667.0,1751282.0,1255005.0,980541.0,21948.0,725098.0,0.0,110138.0,129278.0,0.0,161132.0,36758580.0,502096.0,920571.0,0.0,1695306.0,96512.0,36758580.0,7849269.0,0.0,0.0,349894.0,0.0,14822343.0,14822343.0,0.0,153825.0,740631.0,0.0,2311997.0,6136421.0,1762194.0,0.0,28966.0,0.0,9795604.0
0.0,1542407.0,0.0,0.0,5116693.0,78181.0,0.0,0.0,0.0,0.0,148513.0,1978286.0,1033210.0,427049.0,0.0,35366606.0,46154.0,148616.0,0.0,32159.0,0.0,496234.0,251829.0,63338.0,58368.0,2439069.0,61456.0,38438.0,0.0,117288.0,4658151.0,0.0,0.0,16306.0,6560.0,12421.0,0.0,202100.0,50322.0,274095.0,342862.0,0.0,0.0,101000.0,0.0,3016092.0,2253603.0,1599725.0,1238157.0,32684.0,784644.0,0.0,114276.0,141756.0,0.0,129852.0,36433994.0,556228.0,1016426.0,0.0,2183628.0,97509.0,36433994.0,8518790.0,0.0,0.0,372960.0,0.0,15136416.0,15136416.0,0.0,104539.0,636437.0,0.0,3089489.0,6009927.0,1731719.0,0.0,26946.0,0.0,10695611.0
0.0,992620.0,0.0,112400.0,5427451.0,89788.0,148207.0,0.0,42125.0,0.0,91787.0,2136443.0,1116742.0,423196.0,0.0,36577197.0,30354.0,134054.0,0.0,73617.0,0.0,544125.0,203879.0,52978.0,51388.0,1734560.0,74849.0,23096.0,0.0,97198.0,4753968.0,0.0,0.0,13624.0,6273.0,13602.0,271167.0,113200.0,44135.0,240136.0,398096.0,109085.0,0.0,104000.0,0.0,2893947.0,1821900.0,1315583.0,1034025.0,63200.0,792659.0,0.0,75275.0,125000.0,89571.0,84036.0,38345977.0,537949.0,946056.0,182850.0,1730512.0,65661.0,38345977.0,8384530.0,0.0,0.0,340864.0,148144.0,17541010.0,17541010.0,0.0,107961.0,586051.0,12950.0,3505623.0,6212597.0,1513495.0,78167.0,27444.0,12950.0,11345984.0
